----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
sigma_h = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
<h_i> = ( -1.735472241790e-03 , 1.800892134882e-03 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all sites simultaneously.. 
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 0)
----------------------------------------------------------------------------------
-9.530000000000e-01	-9.530000000000e-01	0.000000000000e+00	-9.505380476514e-01	-1.516229124978e-04	
-9.520000000000e-01	-9.520000000000e-01	0.000000000000e+00	-9.504844736713e-01	-1.475552842829e-04	
-9.510000000000e-01	-9.510000000000e-01	0.000000000000e+00	-9.504307458959e-01	-1.432393999614e-04	
-9.500000000000e-01	-9.500000000000e-01	0.000000000000e+00	-9.503768663100e-01	-1.387031138205e-04	
-9.490000000000e-01	-9.490000000000e-01	0.000000000000e+00	-9.503228200698e-01	-1.338706612059e-04	
-9.480000000000e-01	-9.480000000000e-01	0.000000000000e+00	-9.502686181172e-01	-1.288277763536e-04	
-9.470000000000e-01	-9.470000000000e-01	0.000000000000e+00	-9.502142181221e-01	-1.233436002503e-04	
-9.460000000000e-01	-9.460000000000e-01	0.000000000000e+00	-9.501595910274e-01	-1.172868648928e-04	
-9.450000000000e-01	-9.450000000000e-01	0.000000000000e+00	-9.501047660667e-01	-1.108663121096e-04	
-9.440000000000e-01	-9.440000000000e-01	0.000000000000e+00	-9.500496346477e-01	-1.035356659057e-04	
-9.430000000000e-01	-9.430000000000e-01	0.000000000000e+00	-9.499941842854e-01	-9.532120455068e-05	
-9.420000000000e-01	-9.420000000000e-01	0.000000000000e+00	-9.499382575519e-01	-8.554725049044e-05	
-9.410000000000e-01	-9.410000000000e-01	0.000000000000e+00	-9.498817043790e-01	-7.371709529765e-05	
-9.400000000000e-01	-9.400000000000e-01	0.000000000000e+00	-9.498242829353e-01	-5.909194915039e-05	
