----------------------------------------------------------------------------------
dim_{Spin} = 1 ,
dim_{Lat} = 3 ,
N = ( 16 x 16 x 16 ) ,
T = 1.000000000000e+00 ,
delta_T = 1.000000000000e-01 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 ) ,
sigma_h = ( 2.000000000000e+00 ) ,
<h_i> = ( -3.102112359020e-03 ) ,
order = ( 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 1 ,
Thermalizing-MCS = 0 ,
Averaging-MCS = 1 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-02 ,
==================================================================================
step	<|m|>	<m[0]>	<E>	
----------------------------------------------------------------------------------
0	9.667968750000e-02	9.667968750000e-02	-1.084826362829e+00	
1	1.425781250000e-01	1.425781250000e-01	-1.571358897633e+00	
2	1.484375000000e-01	1.484375000000e-01	-1.907738499042e+00	
3	1.518554687500e-01	1.518554687500e-01	-2.109537401003e+00	
4	1.435546875000e-01	1.435546875000e-01	-2.233832816458e+00	
5	1.616210937500e-01	1.616210937500e-01	-2.330693300318e+00	
6	1.684570312500e-01	1.684570312500e-01	-2.409231651124e+00	
7	1.616210937500e-01	1.616210937500e-01	-2.463265513348e+00	
8	1.635742187500e-01	1.635742187500e-01	-2.503956660560e+00	
9	1.772460937500e-01	1.772460937500e-01	-2.536571962152e+00	
10	1.757812500000e-01	1.757812500000e-01	-2.556020358890e+00	
11	1.743164062500e-01	1.743164062500e-01	-2.579337581421e+00	
12	1.870117187500e-01	1.870117187500e-01	-2.599039125587e+00	
13	1.962890625000e-01	1.962890625000e-01	-2.622665591731e+00	
14	2.021484375000e-01	2.021484375000e-01	-2.640848740728e+00	
15	2.011718750000e-01	2.011718750000e-01	-2.654186172036e+00	
16	1.938476562500e-01	1.938476562500e-01	-2.665653100128e+00	
17	1.958007812500e-01	1.958007812500e-01	-2.678103221992e+00	
18	1.889648437500e-01	1.889648437500e-01	-2.692398388889e+00	
19	1.938476562500e-01	1.938476562500e-01	-2.701529118125e+00	
20	1.987304687500e-01	1.987304687500e-01	-2.709360672068e+00	
21	1.933593750000e-01	1.933593750000e-01	-2.715600618496e+00	
22	1.918945312500e-01	1.918945312500e-01	-2.721358281799e+00	
23	1.928710937500e-01	1.928710937500e-01	-2.726542661663e+00	
24	2.016601562500e-01	2.016601562500e-01	-2.725549020494e+00	
25	2.036132812500e-01	2.036132812500e-01	-2.740425992413e+00	
26	2.060546875000e-01	2.060546875000e-01	-2.740651535357e+00	
27	2.099609375000e-01	2.099609375000e-01	-2.735307138811e+00	
28	2.153320312500e-01	2.153320312500e-01	-2.748628855436e+00	
29	2.231445312500e-01	2.231445312500e-01	-2.749278914447e+00	
30	2.163085937500e-01	2.163085937500e-01	-2.741892038674e+00	
31	2.207031250000e-01	2.207031250000e-01	-2.750941560898e+00	
32	2.216796875000e-01	2.216796875000e-01	-2.754145867958e+00	
33	2.309570312500e-01	2.309570312500e-01	-2.759603480198e+00	
34	2.392578125000e-01	2.392578125000e-01	-2.759198622153e+00	
35	2.299804687500e-01	2.299804687500e-01	-2.767255107773e+00	
36	2.309570312500e-01	2.309570312500e-01	-2.764483439097e+00	
37	2.416992187500e-01	2.416992187500e-01	-2.765964201539e+00	
38	2.470703125000e-01	2.470703125000e-01	-2.770909352556e+00	
39	2.460937500000e-01	2.460937500000e-01	-2.779304189768e+00	
40	2.524414062500e-01	2.524414062500e-01	-2.777884520665e+00	
41	2.553710937500e-01	2.553710937500e-01	-2.790886290038e+00	
42	2.656250000000e-01	2.656250000000e-01	-2.796127773305e+00	
43	2.714843750000e-01	2.714843750000e-01	-2.797439084812e+00	
44	2.685546875000e-01	2.685546875000e-01	-2.798585152599e+00	
45	2.763671875000e-01	2.763671875000e-01	-2.798594501217e+00	
46	2.724609375000e-01	2.724609375000e-01	-2.800459797560e+00	
47	2.685546875000e-01	2.685546875000e-01	-2.801140492780e+00	
48	2.690429687500e-01	2.690429687500e-01	-2.801158432139e+00	
49	2.729492187500e-01	2.729492187500e-01	-2.807670547773e+00	
50	2.773437500000e-01	2.773437500000e-01	-2.808153443429e+00	
51	2.812500000000e-01	2.812500000000e-01	-2.813215087386e+00	
52	2.846679687500e-01	2.846679687500e-01	-2.818078912022e+00	
53	2.929687500000e-01	2.929687500000e-01	-2.813812762943e+00	
54	2.827148437500e-01	2.827148437500e-01	-2.815654336433e+00	
55	2.895507812500e-01	2.895507812500e-01	-2.817267531627e+00	
56	2.998046875000e-01	2.998046875000e-01	-2.816295201791e+00	
57	2.944335937500e-01	2.944335937500e-01	-2.815267377602e+00	
58	2.958984375000e-01	2.958984375000e-01	-2.813466309561e+00	
59	2.944335937500e-01	2.944335937500e-01	-2.817481388114e+00	
60	2.954101562500e-01	2.954101562500e-01	-2.817693699180e+00	
61	2.944335937500e-01	2.944335937500e-01	-2.822089044238e+00	
62	2.993164062500e-01	2.993164062500e-01	-2.824944246766e+00	
63	3.090820312500e-01	3.090820312500e-01	-2.824602752533e+00	
64	3.129882812500e-01	3.129882812500e-01	-2.823299229047e+00	
65	3.139648437500e-01	3.139648437500e-01	-2.818327173078e+00	
66	3.071289062500e-01	3.071289062500e-01	-2.818104734621e+00	
67	3.183593750000e-01	3.183593750000e-01	-2.820313362385e+00	
68	3.203125000000e-01	3.203125000000e-01	-2.826192255791e+00	
69	3.227539062500e-01	3.227539062500e-01	-2.822521452381e+00	
70	3.256835937500e-01	3.256835937500e-01	-2.822796036243e+00	
71	3.227539062500e-01	3.227539062500e-01	-2.813107300441e+00	
72	3.222656250000e-01	3.222656250000e-01	-2.820758681356e+00	
73	3.295898437500e-01	3.295898437500e-01	-2.819344690921e+00	
74	3.247070312500e-01	3.247070312500e-01	-2.821980598499e+00	
75	3.256835937500e-01	3.256835937500e-01	-2.825975110891e+00	
76	3.339843750000e-01	3.339843750000e-01	-2.829382874514e+00	
77	3.291015625000e-01	3.291015625000e-01	-2.834220081250e+00	
78	3.334960937500e-01	3.334960937500e-01	-2.837140905234e+00	
79	3.339843750000e-01	3.339843750000e-01	-2.837545129654e+00	
80	3.388671875000e-01	3.388671875000e-01	-2.836077411247e+00	
81	3.398437500000e-01	3.398437500000e-01	-2.838367107544e+00	
82	3.442382812500e-01	3.442382812500e-01	-2.838294122471e+00	
83	3.349609375000e-01	3.349609375000e-01	-2.838463786592e+00	
84	3.403320312500e-01	3.403320312500e-01	-2.836925958259e+00	
85	3.413085937500e-01	3.413085937500e-01	-2.835901366628e+00	
86	3.481445312500e-01	3.481445312500e-01	-2.835246094903e+00	
87	3.339843750000e-01	3.339843750000e-01	-2.834462811917e+00	
88	3.374023437500e-01	3.374023437500e-01	-2.836769066549e+00	
89	3.334960937500e-01	3.334960937500e-01	-2.836479566923e+00	
90	3.334960937500e-01	3.334960937500e-01	-2.832462200608e+00	
91	3.369140625000e-01	3.369140625000e-01	-2.832364036123e+00	
92	3.378906250000e-01	3.378906250000e-01	-2.833799230129e+00	
93	3.510742187500e-01	3.510742187500e-01	-2.833346853749e+00	
94	3.432617187500e-01	3.432617187500e-01	-2.835675097863e+00	
95	3.403320312500e-01	3.403320312500e-01	-2.837101134685e+00	
96	3.476562500000e-01	3.476562500000e-01	-2.832264898581e+00	
97	3.491210937500e-01	3.491210937500e-01	-2.839192589514e+00	
98	3.476562500000e-01	3.476562500000e-01	-2.840692642700e+00	
99	3.422851562500e-01	3.422851562500e-01	-2.845183795071e+00	
100	3.413085937500e-01	3.413085937500e-01	-2.838884688671e+00	
101	3.442382812500e-01	3.442382812500e-01	-2.841361914771e+00	
102	3.442382812500e-01	3.442382812500e-01	-2.838765979179e+00	
103	3.559570312500e-01	3.559570312500e-01	-2.837032302173e+00	
104	3.647460937500e-01	3.647460937500e-01	-2.842831101575e+00	
105	3.608398437500e-01	3.608398437500e-01	-2.844142974818e+00	
