----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 16 x 16 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 2.000000000000e-01 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -2.934241470612e-02 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
6.000000000000e-04	-7.539804509013e-04	1.999985787786e-01	-1.103752715841e-01	9.609976277257e-01	
6.125000000000e-04	-7.696883002052e-04	1.999985189443e-01	-1.104287579842e-01	9.609915197375e-01	
6.250000000000e-04	-7.853961447612e-04	1.999984578763e-01	-1.104822440321e-01	9.609854088544e-01	
6.375000000000e-04	-8.011039844725e-04	1.999983955746e-01	-1.105357297277e-01	9.609792950763e-01	
6.500000000000e-04	-8.168118192422e-04	1.999983320392e-01	-1.105892150711e-01	9.609731784032e-01	
6.625000000000e-04	-8.325196489735e-04	1.999982672701e-01	-1.106427000623e-01	9.609670588352e-01	
6.750000000000e-04	-8.482274735693e-04	1.999982012673e-01	-1.106961847011e-01	9.609609363722e-01	
6.875000000000e-04	-8.639352929328e-04	1.999981340308e-01	-1.107496689877e-01	9.609548110144e-01	
7.000000000000e-04	-8.796431069671e-04	1.999980655607e-01	-1.108031529218e-01	9.609486827616e-01	
7.125000000000e-04	-8.953509155754e-04	1.999979958568e-01	-1.108566365037e-01	9.609425516138e-01	
7.250000000000e-04	-9.110587186606e-04	1.999979249193e-01	-1.109101197331e-01	9.609364175712e-01	
7.375000000000e-04	-9.267665161260e-04	1.999978527480e-01	-1.109636026102e-01	9.609302806337e-01	
7.500000000000e-04	-9.424743078747e-04	1.999977793431e-01	-1.110170851348e-01	9.609241408013e-01	
7.625000000000e-04	-9.581820938097e-04	1.999977047045e-01	-1.110705673069e-01	9.609179980740e-01	
7.750000000000e-04	-9.738898738341e-04	1.999976288322e-01	-1.111240491266e-01	9.609118524518e-01	
7.875000000000e-04	-9.895976478511e-04	1.999975517263e-01	-1.111775305938e-01	9.609057039348e-01	
8.000000000000e-04	-1.005305415764e-03	1.999974733866e-01	-1.112310117084e-01	9.608995525229e-01	
----- Checkpointed here. -----
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
8.125000000000e-04	-1.021013177475e-03	1.999973938132e-01	-1.112844924705e-01	9.608933982161e-01	
8.250000000000e-04	-1.036720932889e-03	1.999973130062e-01	-1.113379728800e-01	9.608872410145e-01	
8.375000000000e-04	-1.052428681907e-03	1.999972309655e-01	-1.113914529369e-01	9.608810809180e-01	
8.500000000000e-04	-1.068136424433e-03	1.999971476911e-01	-1.114449326412e-01	9.608749179267e-01	
8.625000000000e-04	-1.083844160371e-03	1.999970631830e-01	-1.114984119929e-01	9.608687520405e-01	
8.750000000000e-04	-1.099551889623e-03	1.999969774413e-01	-1.115518909919e-01	9.608625832595e-01	
8.875000000000e-04	-1.115259612092e-03	1.999968904658e-01	-1.116053696382e-01	9.608564115837e-01	
9.000000000000e-04	-1.130967327682e-03	1.999968022567e-01	-1.116588479318e-01	9.608502370131e-01	
9.125000000000e-04	-1.146675036295e-03	1.999967128139e-01	-1.117123258727e-01	9.608440595477e-01	
9.250000000000e-04	-1.162382737835e-03	1.999966221374e-01	-1.117658034608e-01	9.608378791875e-01	
9.375000000000e-04	-1.178090432205e-03	1.999965302272e-01	-1.118192806961e-01	9.608316959324e-01	
9.500000000000e-04	-1.193798119308e-03	1.999964370834e-01	-1.118727575786e-01	9.608255097826e-01	
9.625000000000e-04	-1.209505799047e-03	1.999963427059e-01	-1.119262341083e-01	9.608193207380e-01	
9.750000000000e-04	-1.225213471326e-03	1.999962470947e-01	-1.119797102851e-01	9.608131287987e-01	
9.875000000000e-04	-1.240921136046e-03	1.999961502498e-01	-1.120331861091e-01	9.608069339645e-01	
1.000000000000e-03	-1.256628793112e-03	1.999960521712e-01	-1.120866615801e-01	9.608007362356e-01	
