----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
1.850000000000e-03	-4.649452423958e-04	3.999729773274e-02	-2.034912966379e-02	9.321428384683e-01	-2.092105409949e+00	
1.900000000000e-03	-4.775107409170e-04	3.999714969210e-02	-2.044187144683e-02	9.321414268728e-01	-2.092105528234e+00	
1.950000000000e-03	-4.900761923099e-04	3.999699770390e-02	-2.053461345341e-02	9.321400052261e-01	-2.092105644003e+00	
2.000000000000e-03	-5.026415953341e-04	3.999684176815e-02	-2.062735568112e-02	9.321385735282e-01	-2.092105757258e+00	
2.050000000000e-03	-5.152069487496e-04	3.999668188488e-02	-2.072009812757e-02	9.321371317792e-01	-2.092105867997e+00	
2.103125000000e-03	-5.285575810100e-04	3.999650768359e-02	-2.081863721387e-02	9.321355889077e-01	-2.092105982902e+00	
2.106250000000e-03	-5.293429105000e-04	3.999649729768e-02	-2.082443363826e-02	9.321354977972e-01	-2.092105989573e+00	
2.125000000000e-03	-5.340548831436e-04	3.999643465838e-02	-2.085921220207e-02	9.321349503097e-01	-2.092106029391e+00	
2.150000000000e-03	-5.403375017938e-04	3.999635027580e-02	-2.090558366699e-02	9.321342181276e-01	-2.092106081931e+00	
2.203125000000e-03	-5.536880219650e-04	3.999616768610e-02	-2.100412320514e-02	9.321326538974e-01	-2.092106191491e+00	
2.206250000000e-03	-5.544733447743e-04	3.999615680675e-02	-2.100991965593e-02	9.321325615305e-01	-2.092106197847e+00	
2.225000000000e-03	-5.591852771304e-04	3.999609120684e-02	-2.104469837780e-02	9.321320065046e-01	-2.092106235779e+00	
2.250000000000e-03	-5.654678415213e-04	3.999600287679e-02	-2.109107005242e-02	9.321312642713e-01	-2.092106285804e+00	
2.303125000000e-03	-5.788182443327e-04	3.999581189875e-02	-2.118961003216e-02	9.321296786824e-01	-2.092106390020e+00	
2.306250000000e-03	-5.796035601513e-04	3.999580052597e-02	-2.119540650876e-02	9.321295850591e-01	-2.092106396061e+00	
2.325000000000e-03	-5.843154503597e-04	3.999573196548e-02	-2.123018538508e-02	9.321290224949e-01	-2.092106432107e+00	
