----------------------------------------------------------------------------------
dim_{Spin} = 1 ,
dim_{Lat} = 3 ,
N = ( 16 x 16 x 16 ) ,
T = 1.000000000000e+00 ,
delta_T = 1.000000000000e-01 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 ) ,
sigma_h = ( 2.000000000000e+00 ) ,
<h_i> = ( -3.102112359020e-03 ) ,
order = ( 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 0 ,
Averaging-MCS = 11 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-02 ,
==================================================================================
step	<|m|>	<m[0]>	<E>	
----------------------------------------------------------------------------------
0	9.885919744318e-01	9.885919744318e-01	-2.990714442177e+00	
1	9.876154119318e-01	9.876154119318e-01	-2.989144003142e+00	
2	9.880149147727e-01	9.880149147727e-01	-2.989931990740e+00	
3	9.881924715909e-01	9.881924715909e-01	-2.990761332189e+00	
4	9.844193892045e-01	9.844193892045e-01	-2.987273964552e+00	
5	9.848632812500e-01	9.848632812500e-01	-2.989086894920e+00	
6	9.842418323864e-01	9.842418323864e-01	-2.985267369699e+00	
7	9.868607954545e-01	9.868607954545e-01	-2.988804592870e+00	
8	9.850408380682e-01	9.850408380682e-01	-2.988267665919e+00	
9	9.836203835227e-01	9.836203835227e-01	-2.987102743640e+00	
10	9.889470880682e-01	9.889470880682e-01	-2.992644398230e+00	
11	9.852183948864e-01	9.852183948864e-01	-2.987873981949e+00	
12	9.849964488636e-01	9.849964488636e-01	-2.990793577451e+00	
13	9.864612926136e-01	9.864612926136e-01	-2.990317464105e+00	
14	9.861505681818e-01	9.861505681818e-01	-2.988875186654e+00	
15	9.888139204545e-01	9.888139204545e-01	-2.988256474004e+00	
16	9.886807528409e-01	9.886807528409e-01	-2.991396003789e+00	
17	9.884144176136e-01	9.884144176136e-01	-2.992071862929e+00	
18	9.860617897727e-01	9.860617897727e-01	-2.991150024555e+00	
19	9.863725142045e-01	9.863725142045e-01	-2.991216189326e+00	
20	9.894797585227e-01	9.894797585227e-01	-2.995066693276e+00	
21	9.865944602273e-01	9.865944602273e-01	-2.992107650745e+00	
22	9.871271306818e-01	9.871271306818e-01	-2.991035645704e+00	
23	9.856622869318e-01	9.856622869318e-01	-2.990997398166e+00	
24	9.889470880682e-01	9.889470880682e-01	-2.994369953738e+00	
25	9.870383522727e-01	9.870383522727e-01	-2.990906728525e+00	
26	9.873490767045e-01	9.873490767045e-01	-2.992101336273e+00	
27	9.861061789773e-01	9.861061789773e-01	-2.991307886835e+00	
28	9.861949573864e-01	9.861949573864e-01	-2.991281548050e+00	
29	9.874378551136e-01	9.874378551136e-01	-2.992663464074e+00	
30	9.875710227273e-01	9.875710227273e-01	-2.991679425859e+00	
31	9.861949573864e-01	9.861949573864e-01	-2.990225163495e+00	
32	9.865500710227e-01	9.865500710227e-01	-2.991455179784e+00	
33	9.868164062500e-01	9.868164062500e-01	-2.992779942369e+00	
34	9.885919744318e-01	9.885919744318e-01	-2.991657568552e+00	
35	9.873046875000e-01	9.873046875000e-01	-2.991050682567e+00	
36	9.861505681818e-01	9.861505681818e-01	-2.990284716782e+00	
37	9.865500710227e-01	9.865500710227e-01	-2.990688609798e+00	
38	9.867276278409e-01	9.867276278409e-01	-2.989957724959e+00	
39	9.878373579545e-01	9.878373579545e-01	-2.989990892500e+00	
40	9.884588068182e-01	9.884588068182e-01	-2.992374158081e+00	
41	9.868607954545e-01	9.868607954545e-01	-2.990290600671e+00	
42	9.878817471591e-01	9.878817471591e-01	-2.992701189166e+00	
43	9.885031960227e-01	9.885031960227e-01	-2.988695925655e+00	
44	9.900124289773e-01	9.900124289773e-01	-2.991442952782e+00	
45	9.873046875000e-01	9.873046875000e-01	-2.991780647120e+00	
46	9.878373579545e-01	9.878373579545e-01	-2.991927137176e+00	
47	9.885475852273e-01	9.885475852273e-01	-2.991030641376e+00	
48	9.871271306818e-01	9.871271306818e-01	-2.990766742322e+00	
49	9.885919744318e-01	9.885919744318e-01	-2.991449704720e+00	
50	9.858842329545e-01	9.858842329545e-01	-2.988352123407e+00	
51	9.897460937500e-01	9.897460937500e-01	-2.992852319023e+00	
52	9.869051846591e-01	9.869051846591e-01	-2.991736270990e+00	
53	9.877041903409e-01	9.877041903409e-01	-2.990588077796e+00	
54	9.858398437500e-01	9.858398437500e-01	-2.989072834655e+00	
55	9.876154119318e-01	9.876154119318e-01	-2.989876347170e+00	
56	9.904563210227e-01	9.904563210227e-01	-2.991336689211e+00	
57	9.845081676136e-01	9.845081676136e-01	-2.985629554792e+00	
58	9.859730113636e-01	9.859730113636e-01	-2.990134530531e+00	
59	9.882812500000e-01	9.882812500000e-01	-2.993973620679e+00	
60	9.889470880682e-01	9.889470880682e-01	-2.990908389179e+00	
61	9.866832386364e-01	9.866832386364e-01	-2.988947271155e+00	
62	9.844193892045e-01	9.844193892045e-01	-2.986566187362e+00	
63	9.860617897727e-01	9.860617897727e-01	-2.988524265485e+00	
64	9.871715198864e-01	9.871715198864e-01	-2.992157296113e+00	
65	9.867276278409e-01	9.867276278409e-01	-2.992305974348e+00	
66	9.889914772727e-01	9.889914772727e-01	-2.991702150425e+00	
67	9.905894886364e-01	9.905894886364e-01	-2.991942664259e+00	
68	9.866388494318e-01	9.866388494318e-01	-2.990282097439e+00	
69	9.859730113636e-01	9.859730113636e-01	-2.990069242791e+00	
70	9.845081676136e-01	9.845081676136e-01	-2.990369251423e+00	
71	9.860174005682e-01	9.860174005682e-01	-2.990291460263e+00	
72	9.873046875000e-01	9.873046875000e-01	-2.991474922050e+00	
73	9.855291193182e-01	9.855291193182e-01	-2.987695469644e+00	
74	9.865500710227e-01	9.865500710227e-01	-2.990101787324e+00	
75	9.878817471591e-01	9.878817471591e-01	-2.992156000174e+00	
76	9.892134232955e-01	9.892134232955e-01	-2.992138994557e+00	
77	9.877929687500e-01	9.877929687500e-01	-2.992989726174e+00	
78	9.865500710227e-01	9.865500710227e-01	-2.991914798247e+00	
79	9.859730113636e-01	9.859730113636e-01	-2.989347847299e+00	
80	9.880149147727e-01	9.880149147727e-01	-2.989816331327e+00	
81	9.875710227273e-01	9.875710227273e-01	-2.990511604206e+00	
82	9.878373579545e-01	9.878373579545e-01	-2.991777033281e+00	
83	9.898792613636e-01	9.898792613636e-01	-2.990157758979e+00	
84	9.909889914773e-01	9.909889914773e-01	-2.991729791453e+00	
85	9.895685369318e-01	9.895685369318e-01	-2.992157777231e+00	
