----------------------------------------------------------------------------------
dim_{Spin} = 1 ,
dim_{Lat} = 3 ,
N = ( 16 x 16 x 16 ) ,
T = 1.000000000000e+00 ,
delta_T = 1.000000000000e-01 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 ) ,
sigma_h = ( 2.000000000000e+00 ) ,
<h_i> = ( -3.102112359020e-03 ) ,
order = ( 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 0 ,
Averaging-MCS = 128 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-02 ,
==================================================================================
step	<|m|>	<m[0]>	<E>	
80	9.864234924316e-01	9.864234924316e-01	-2.990718714743e+00	
81	9.882545471191e-01	9.882545471191e-01	-2.991302508023e+00	
82	9.872970581055e-01	9.872970581055e-01	-2.991321236710e+00	
83	9.872741699219e-01	9.872741699219e-01	-2.990376639713e+00	
84	9.873199462891e-01	9.873199462891e-01	-2.990809334310e+00	
85	9.877929687500e-01	9.877929687500e-01	-2.990418318766e+00	
86	9.882812500000e-01	9.882812500000e-01	-2.991426622516e+00	
87	9.878044128418e-01	9.878044128418e-01	-2.990471780371e+00	
88	9.868164062500e-01	9.868164062500e-01	-2.989528218791e+00	
89	9.866142272949e-01	9.866142272949e-01	-2.990198171961e+00	
90	9.868164062500e-01	9.868164062500e-01	-2.989929224959e+00	
91	9.875526428223e-01	9.875526428223e-01	-2.990482031755e+00	
92	9.871940612793e-01	9.871940612793e-01	-2.990820286578e+00	
93	9.867362976074e-01	9.867362976074e-01	-2.990851089443e+00	
94	9.876022338867e-01	9.876022338867e-01	-2.990466181610e+00	
95	9.870796203613e-01	9.870796203613e-01	-2.990699833719e+00	
96	9.873085021973e-01	9.873085021973e-01	-2.991080676734e+00	
97	9.871292114258e-01	9.871292114258e-01	-2.990374166073e+00	
98	9.874076843262e-01	9.874076843262e-01	-2.992050408019e+00	
99	9.874229431152e-01	9.874229431152e-01	-2.990407483387e+00	
100	9.873886108398e-01	9.873886108398e-01	-2.990895705345e+00	
101	9.860916137695e-01	9.860916137695e-01	-2.990360813367e+00	
102	9.868583679199e-01	9.868583679199e-01	-2.990419058609e+00	
103	9.882431030273e-01	9.882431030273e-01	-2.990762193025e+00	
104	9.865074157715e-01	9.865074157715e-01	-2.989927674319e+00	
105	9.871406555176e-01	9.871406555176e-01	-2.990698070381e+00	
106	9.861068725586e-01	9.861068725586e-01	-2.989844594763e+00	
107	9.880905151367e-01	9.880905151367e-01	-2.991918705812e+00	
108	9.889793395996e-01	9.889793395996e-01	-2.991021135977e+00	
109	9.870719909668e-01	9.870719909668e-01	-2.991087423607e+00	
110	9.876632690430e-01	9.876632690430e-01	-2.989992658878e+00	
111	9.876174926758e-01	9.876174926758e-01	-2.990791761252e+00	
112	9.871635437012e-01	9.871635437012e-01	-2.990631050583e+00	
113	9.878959655762e-01	9.878959655762e-01	-2.990595516103e+00	
