----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 1.000000000000e-07 ) ,
sigma_h = ( 1.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( 4.942593011835e-04 , 0.000000000000e+00 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 0)
----------------------------------------------------------------------------------
-3.865555000000e+00	-3.865555000000e+00	1.000000000000e-07	-1.000000000000e+00	2.588187830465e-08	
-3.861545000000e+00	-3.861545000000e+00	1.000000000000e-07	-1.000000000000e+00	2.590877345114e-08	
-3.857535000000e+00	-3.857535000000e+00	1.000000000000e-07	-1.000000000000e+00	2.593572455887e-08	
-3.853525000000e+00	-3.853525000000e+00	1.000000000000e-07	-1.000000000000e+00	2.596273180269e-08	
-3.849515000000e+00	-3.849515000000e+00	1.000000000000e-07	-1.000000000000e+00	2.598979535819e-08	
-3.845505000000e+00	-3.845505000000e+00	1.000000000000e-07	-1.000000000000e+00	2.601691540168e-08	
-3.841495000000e+00	-3.841495000000e+00	1.000000000000e-07	-1.000000000000e+00	2.604409211023e-08	
-3.837485000000e+00	-3.837485000000e+00	1.000000000000e-07	-1.000000000000e+00	2.607132566162e-08	
-3.833475000000e+00	-3.833475000000e+00	1.000000000000e-07	-1.000000000000e+00	2.609861623440e-08	
-3.829465000000e+00	-3.829465000000e+00	1.000000000000e-07	-1.000000000000e+00	2.612596400786e-08	
-3.825455000000e+00	-3.825455000000e+00	1.000000000000e-07	-1.000000000000e+00	2.615336916203e-08	
-3.821445000000e+00	-3.821445000000e+00	1.000000000000e-07	-1.000000000000e+00	2.618083187771e-08	
-3.817435000000e+00	-3.817435000000e+00	1.000000000000e-07	-1.000000000000e+00	2.620835233647e-08	
-3.813425000000e+00	-3.813425000000e+00	1.000000000000e-07	-1.000000000000e+00	2.623593072062e-08	
-3.809415000000e+00	-3.809415000000e+00	1.000000000000e-07	-1.000000000000e+00	2.626356721326e-08	
-3.805405000000e+00	-3.805405000000e+00	1.000000000000e-07	-1.000000000000e+00	2.629126199824e-08	
-3.801395000000e+00	-3.801395000000e+00	1.000000000000e-07	-1.000000000000e+00	2.631901526021e-08	
-3.797385000000e+00	-3.797385000000e+00	1.000000000000e-07	-1.000000000000e+00	2.634682718459e-08	
-3.793375000000e+00	-3.793375000000e+00	1.000000000000e-07	-1.000000000000e+00	2.637469795758e-08	
-3.789365000000e+00	-3.789365000000e+00	1.000000000000e-07	-1.000000000000e+00	2.640262776618e-08	
-3.785355000000e+00	-3.785355000000e+00	1.000000000000e-07	-1.000000000000e+00	2.643061679818e-08	
-3.781345000000e+00	-3.781345000000e+00	1.000000000000e-07	-1.000000000000e+00	2.645866524216e-08	
-3.777335000000e+00	-3.777335000000e+00	1.000000000000e-07	-1.000000000000e+00	2.648677328750e-08	
-3.773325000000e+00	-3.773325000000e+00	1.000000000000e-07	-1.000000000000e+00	2.651494112440e-08	
-3.769315000000e+00	-3.769315000000e+00	1.000000000000e-07	-1.000000000000e+00	2.654316894386e-08	
-3.765305000000e+00	-3.765305000000e+00	1.000000000000e-07	-1.000000000000e+00	2.657145693770e-08	
-3.761295000000e+00	-3.761295000000e+00	1.000000000000e-07	-1.000000000000e+00	2.659980529855e-08	
-3.757285000000e+00	-3.757285000000e+00	1.000000000000e-07	-1.000000000000e+00	2.662821421987e-08	
-3.753275000000e+00	-3.753275000000e+00	1.000000000000e-07	-1.000000000000e+00	2.665668389595e-08	
-3.749265000000e+00	-3.749265000000e+00	1.000000000000e-07	-1.000000000000e+00	2.668521452190e-08	
-3.745255000000e+00	-3.745255000000e+00	1.000000000000e-07	-1.000000000000e+00	2.671380629369e-08	
-3.741245000000e+00	-3.741245000000e+00	1.000000000000e-07	-1.000000000000e+00	2.674245940809e-08	
-3.737235000000e+00	-3.737235000000e+00	1.000000000000e-07	-1.000000000000e+00	2.677117406277e-08	
-3.733225000000e+00	-3.733225000000e+00	1.000000000000e-07	-1.000000000000e+00	2.679995045620e-08	
-3.729215000000e+00	-3.729215000000e+00	1.000000000000e-07	-1.000000000000e+00	2.682878878774e-08	
-3.725205000000e+00	-3.725205000000e+00	1.000000000000e-07	-1.000000000000e+00	2.685768925758e-08	
-3.721195000000e+00	-3.721195000000e+00	1.000000000000e-07	-1.000000000000e+00	2.688665206680e-08	
-3.717185000000e+00	-3.717185000000e+00	1.000000000000e-07	-1.000000000000e+00	2.691567741734e-08	
-3.713175000000e+00	-3.713175000000e+00	1.000000000000e-07	-1.000000000000e+00	2.694476551200e-08	
-3.709165000000e+00	-3.709165000000e+00	1.000000000000e-07	-1.000000000000e+00	2.697391655447e-08	
-3.705155000000e+00	-3.705155000000e+00	1.000000000000e-07	-1.000000000000e+00	2.700313074932e-08	
-3.701145000000e+00	-3.701145000000e+00	1.000000000000e-07	-1.000000000000e+00	2.703240830201e-08	
-3.697135000000e+00	-3.697135000000e+00	1.000000000000e-07	-1.000000000000e+00	2.706174941890e-08	
-3.693125000000e+00	-3.693125000000e+00	1.000000000000e-07	-1.000000000000e+00	2.709115430722e-08	
-3.689115000000e+00	-3.689115000000e+00	1.000000000000e-07	-1.000000000000e+00	2.712062317513e-08	
-3.685105000000e+00	-3.685105000000e+00	1.000000000000e-07	-1.000000000000e+00	2.715015623169e-08	
-3.681095000000e+00	-3.681095000000e+00	1.000000000000e-07	-1.000000000000e+00	2.717975368686e-08	
-3.677085000000e+00	-3.677085000000e+00	1.000000000000e-07	-1.000000000000e+00	2.720941575154e-08	
-3.673075000000e+00	-3.673075000000e+00	1.000000000000e-07	-1.000000000000e+00	2.723914263751e-08	
-3.669065000000e+00	-3.669065000000e+00	1.000000000000e-07	-1.000000000000e+00	2.726893455753e-08	
-3.665055000000e+00	-3.665055000000e+00	1.000000000000e-07	-1.000000000000e+00	2.729879172525e-08	
-3.661045000000e+00	-3.661045000000e+00	1.000000000000e-07	-1.000000000000e+00	2.732871435528e-08	
-3.657035000000e+00	-3.657035000000e+00	1.000000000000e-07	-1.000000000000e+00	2.735870266317e-08	
-3.653025000000e+00	-3.653025000000e+00	1.000000000000e-07	-1.000000000000e+00	2.738875686540e-08	
-3.649015000000e+00	-3.649015000000e+00	1.000000000000e-07	-1.000000000000e+00	2.741887717942e-08	
-3.645005000000e+00	-3.645005000000e+00	1.000000000000e-07	-1.000000000000e+00	2.744906382363e-08	
-3.640995000000e+00	-3.640995000000e+00	1.000000000000e-07	-1.000000000000e+00	2.747931701741e-08	
-3.636985000000e+00	-3.636985000000e+00	1.000000000000e-07	-1.000000000000e+00	2.750963698108e-08	
-3.632975000000e+00	-3.632975000000e+00	1.000000000000e-07	-1.000000000000e+00	2.754002393595e-08	
-3.628965000000e+00	-3.628965000000e+00	1.000000000000e-07	-1.000000000000e+00	2.757047810432e-08	
-3.624955000000e+00	-3.624955000000e+00	1.000000000000e-07	-1.000000000000e+00	2.760099970944e-08	
-3.620945000000e+00	-3.620945000000e+00	1.000000000000e-07	-1.000000000000e+00	2.763158897559e-08	
-3.616935000000e+00	-3.616935000000e+00	1.000000000000e-07	-1.000000000000e+00	2.766224612802e-08	
-3.612925000000e+00	-3.612925000000e+00	1.000000000000e-07	-1.000000000000e+00	2.769297139300e-08	
-3.608915000000e+00	-3.608915000000e+00	1.000000000000e-07	-1.000000000000e+00	2.772376499777e-08	
-3.604905000000e+00	-3.604905000000e+00	1.000000000000e-07	-1.000000000000e+00	2.775462717064e-08	
-3.600895000000e+00	-3.600895000000e+00	1.000000000000e-07	-1.000000000000e+00	2.778555814088e-08	
-3.596885000000e+00	-3.596885000000e+00	1.000000000000e-07	-1.000000000000e+00	2.781655813882e-08	
-3.592875000000e+00	-3.592875000000e+00	1.000000000000e-07	-1.000000000000e+00	2.784762739580e-08	
-3.588865000000e+00	-3.588865000000e+00	1.000000000000e-07	-1.000000000000e+00	2.787876614421e-08	
-3.584855000000e+00	-3.584855000000e+00	1.000000000000e-07	-1.000000000000e+00	2.790997461748e-08	
-3.580845000000e+00	-3.580845000000e+00	1.000000000000e-07	-1.000000000000e+00	2.794125305007e-08	
-3.576835000000e+00	-3.576835000000e+00	1.000000000000e-07	-1.000000000000e+00	2.797260167752e-08	
