----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 64 x 64 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 4.000000000000e-02 ) ,
sigma_h = ( 5.000000000000e-01 , 0.000000000000e+00 ) ,
<h_i> = ( -3.261196732474e-03 , 0.000000000000e+00 ) ,
order = ( 0.000000000000e+00 , 1.000000000000e+00 ) ,
order_field = 0 ,
order_random = 0 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
phi(h[:])	h[0]	h[1]	<m[0]>	<m[1]>	<E>	
----------------------------------------------------------------------------------

Updating all (first)black/(then)white checkerboard sites simultaneously..
----------------------------------------------------------------------------------
4.100000000000e-03	-1.030328421701e-03	3.998672809000e-02	-2.452269702758e-02	9.320693661076e-01	-2.092108242771e+00	
4.200000000000e-03	-1.055452618911e-03	3.998607282254e-02	-2.470819605840e-02	9.320656282783e-01	-2.092108250461e+00	
4.300000000000e-03	-1.080576399445e-03	3.998540176921e-02	-2.489369554022e-02	9.320618502467e-01	-2.092108248090e+00	
4.400000000000e-03	-1.105699753384e-03	3.998471493028e-02	-2.507919545377e-02	9.320580320131e-01	-2.092108235658e+00	
4.500000000000e-03	-1.130822670811e-03	3.998401230601e-02	-2.526469577978e-02	9.320541735775e-01	-2.092108213166e+00	
4.600000000000e-03	-1.155945141807e-03	3.998329389669e-02	-2.545019649899e-02	9.320502749404e-01	-2.092108180613e+00	
4.700000000000e-03	-1.181067156454e-03	3.998255970260e-02	-2.563569759214e-02	9.320463361018e-01	-2.092108137998e+00	
4.800000000000e-03	-1.206188704834e-03	3.998180972403e-02	-2.582119903995e-02	9.320423570620e-01	-2.092108085324e+00	
4.900000000000e-03	-1.231309777031e-03	3.998104396127e-02	-2.600670082317e-02	9.320383378213e-01	-2.092108022588e+00	
5.000000000000e-03	-1.256430363125e-03	3.998026241463e-02	-2.619220292253e-02	9.320342783798e-01	-2.092107949792e+00	
5.100000000000e-03	-1.281550453201e-03	3.997946508441e-02	-2.637770531877e-02	9.320301787379e-01	-2.092107866935e+00	
5.200000000000e-03	-1.306670037341e-03	3.997865197094e-02	-2.656320799263e-02	9.320260388958e-01	-2.092107774017e+00	
5.300000000000e-03	-1.331789105628e-03	3.997782307453e-02	-2.674871092484e-02	9.320218588537e-01	-2.092107671038e+00	
5.400000000000e-03	-1.356907648146e-03	3.997697839550e-02	-2.693421409614e-02	9.320176386120e-01	-2.092107557999e+00	
5.500000000000e-03	-1.382025654979e-03	3.997611793420e-02	-2.711971748728e-02	9.320133781709e-01	-2.092107434900e+00	
5.600000000000e-03	-1.407143116210e-03	3.997524169096e-02	-2.730522107897e-02	9.320090775307e-01	-2.092107301739e+00	
5.700000000000e-03	-1.432260021922e-03	3.997434966612e-02	-2.749072485198e-02	9.320047366918e-01	-2.092107158518e+00	
5.800000000000e-03	-1.457376362202e-03	3.997344186005e-02	-2.767622878702e-02	9.320003556543e-01	-2.092107005237e+00	
5.900000000000e-03	-1.482492127132e-03	3.997251827310e-02	-2.786173286486e-02	9.319959344187e-01	-2.092106841894e+00	
6.000000000000e-03	-1.507607306797e-03	3.997157890562e-02	-2.804723706621e-02	9.319914729852e-01	-2.092106668492e+00	
6.100000000000e-03	-1.532721891284e-03	3.997062375800e-02	-2.823274137182e-02	9.319869713542e-01	-2.092106485029e+00	
6.200000000000e-03	-1.557835870675e-03	3.996965283062e-02	-2.841824576242e-02	9.319824295261e-01	-2.092106291505e+00	
6.300000000000e-03	-1.582949235058e-03	3.996866612384e-02	-2.860375021877e-02	9.319778475010e-01	-2.092106087921e+00	
6.400000000000e-03	-1.608061974518e-03	3.996766363807e-02	-2.878925472159e-02	9.319732252795e-01	-2.092105874276e+00	
6.500000000000e-03	-1.633174079140e-03	3.996664537370e-02	-2.897475925163e-02	9.319685628619e-01	-2.092105650572e+00	
6.600000000000e-03	-1.658285539011e-03	3.996561133113e-02	-2.916026378962e-02	9.319638602485e-01	-2.092105416807e+00	
6.700000000000e-03	-1.683396344218e-03	3.996456151077e-02	-2.934576831631e-02	9.319591174397e-01	-2.092105172981e+00	
6.800000000000e-03	-1.708506484845e-03	3.996349591304e-02	-2.953127281244e-02	9.319543344359e-01	-2.092104919096e+00	
6.900000000000e-03	-1.733615950982e-03	3.996241453834e-02	-2.971677725874e-02	9.319495112375e-01	-2.092104655150e+00	
7.000000000000e-03	-1.758724732715e-03	3.996131738712e-02	-2.990228163595e-02	9.319446478449e-01	-2.092104381144e+00	
7.100000000000e-03	-1.783832820130e-03	3.996020445981e-02	-3.008778592483e-02	9.319397442585e-01	-2.092104097078e+00	
7.200000000000e-03	-1.808940203317e-03	3.995907575684e-02	-3.027329010610e-02	9.319348004786e-01	-2.092103802952e+00	
7.300000000000e-03	-1.834046872363e-03	3.995793127866e-02	-3.045879416051e-02	9.319298165058e-01	-2.092103498766e+00	
7.400000000000e-03	-1.859152817357e-03	3.995677102572e-02	-3.064429806879e-02	9.319247923404e-01	-2.092103184520e+00	
7.500000000000e-03	-1.884258028386e-03	3.995559499848e-02	-3.082980181170e-02	9.319197279829e-01	-2.092102860214e+00	
7.600000000000e-03	-1.909362495540e-03	3.995440319740e-02	-3.101530536996e-02	9.319146234337e-01	-2.092102525848e+00	
