----------------------------------------------------------------------------------
dim_{Spin} = 2 ,
dim_{Lat} = 2 ,
N = ( 128 x 128 ) ,
T = 0.000000000000e+00 ,
delta_T = 5.000000000000e-02 ,
J = ( 1.000000000000e+00 , 1.000000000000e+00 ) ,
sigma_J = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
<J_{ij}> = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
h = ( 0.000000000000e+00 , 0.000000000000e+00 ) ,
sigma_h = ( 1.000000000000e+00 , 0.000000000000e+00 ) ,
<h_i> = ( -2.326736468909e-03 , 0.000000000000e+00 ) ,
order = ( -1.000000000000e+00 , 0.000000000000e+00 ) ,
order_field = 0 ,
order_random = 1 ,
Thermalizing-MCS = 128000 ,
Averaging-MCS = 12800 ,
hysteresis-MCS/step = 1, 
del_h = range_h x 1.000000000000e-03 ,
delta_{phi} = 1.000000000000e-04 ,
==================================================================================
h[0]	h[0]	h[1]	<m[0]>	<m[1]>	
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------
Updating all sites simultaneously.. 
----------------------------------------------------------------------------------
----------------------------------------------------------------------------------

order = ({-1.000000-->1.000000,0.000000}, 0, 1)
----------------------------------------------------------------------------------
-1.164534844476e+01	-1.164534844476e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.163348963779e+01	-1.163348963779e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.162163083082e+01	-1.162163083082e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.160977202385e+01	-1.160977202385e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.159791321688e+01	-1.159791321688e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.158605440991e+01	-1.158605440991e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.157419560294e+01	-1.157419560294e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.156233679597e+01	-1.156233679597e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.155047798900e+01	-1.155047798900e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.153861918203e+01	-1.153861918203e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.152676037506e+01	-1.152676037506e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.151490156809e+01	-1.151490156809e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.150304276112e+01	-1.150304276112e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.149118395415e+01	-1.149118395415e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.147932514718e+01	-1.147932514718e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.146746634021e+01	-1.146746634021e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.145560753324e+01	-1.145560753324e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.144374872627e+01	-1.144374872627e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.143188991930e+01	-1.143188991930e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.142003111233e+01	-1.142003111233e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.140817230536e+01	-1.140817230536e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.139631349839e+01	-1.139631349839e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.138445469142e+01	-1.138445469142e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.137259588445e+01	-1.137259588445e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.136073707748e+01	-1.136073707748e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.134887827051e+01	-1.134887827051e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.133701946354e+01	-1.133701946354e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.132516065657e+01	-1.132516065657e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.131330184960e+01	-1.131330184960e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.130144304263e+01	-1.130144304263e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.128958423566e+01	-1.128958423566e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.127772542869e+01	-1.127772542869e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.126586662172e+01	-1.126586662172e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.125400781475e+01	-1.125400781475e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.124214900778e+01	-1.124214900778e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
-1.123029020081e+01	-1.123029020081e+01	0.000000000000e+00	-1.000000000000e+00	0.000000000000e+00	
