T	 |m|	 <m[0]>	 <m[1]>	 <E>	 dim_{Lat}=2	 L=16,16	 J=1.000000,1.000000	 {/Symbol s}_J=0.000000,0.000000	 <J_{ij}>=0.000000,0.000000	 dim_{Spin}=2	 h=0.071429,0.000000	 {/Symbol s}_h=0.500000,0.000000	 <h_i>=0.030300,0.000000	 order=1.000000,0.000000	 order_h=0	 order_r=1	 (thermalizing-MCS,averaging-MCS)/{/Symbol D}T=(128000,12800)/0.050000	 
Cooling... 
2.000000	 0.222946	 0.079188	 0.000880	 -0.750384	 
1.950000	 0.225261	 0.085664	 -0.000739	 -0.769742	 
1.900000	 0.229987	 0.088112	 0.001273	 -0.789459	 
1.850000	 0.232648	 0.099108	 0.000067	 -0.806800	 
T	 |m|	 <m[0]>	 <m[1]>	 <E>	 dim_{Lat}=2	 L=16,16	 J=1.000000,1.000000	 {/Symbol s}_J=0.000000,0.000000	 <J_{ij}>=0.000000,0.000000	 dim_{Spin}=2	 h=0.071429,0.000000	 {/Symbol s}_h=0.500000,0.000000	 <h_i>=0.030300,0.000000	 order=1.000000,0.000000	 order_h=0	 order_r=1	 (thermalizing-MCS,averaging-MCS)/{/Symbol D}T=(128000,12800)/0.050000	 
Cooling... 
2.000000	 0.222185	 0.079257	 -0.001635	 -0.753503	 
1.950000	 0.226232	 0.083710	 -0.000199	 -0.770121	 
1.900000	 0.232379	 0.089643	 0.001845	 -0.790222	 
1.850000	 0.234339	 0.099264	 -0.000764	 -0.809794	 
T	 |m|	 <m[0]>	 <m[1]>	 <E>	 dim_{Lat}=2	 L=16,16	 J=1.000000,1.000000	 {/Symbol s}_J=0.000000,0.000000	 <J_{ij}>=0.000000,0.000000	 dim_{Spin}=2	 h=0.071429,0.000000	 {/Symbol s}_h=0.500000,0.000000	 <h_i>=0.030300,0.000000	 order=1.000000,0.000000	 order_h=0	 order_r=1	 (thermalizing-MCS,averaging-MCS)/{/Symbol D}T=(128000,12800)/0.050000	 
Cooling... 
2.000000	 0.221575	 0.078690	 -0.000120	 -0.751594	 
1.950000	 0.227258	 0.086852	 -0.002343	 -0.772833	 
1.900000	 0.231421	 0.089489	 0.000075	 -0.790972	 
1.850000	 0.231734	 0.095779	 -0.000439	 -0.807599	 
