L{N=LxL} |h|, SUM[del(m_x)^2] SUM[del(m_y)^2] SUM[del(E)^2] SUM[del(|m|)^2]
L{N=LxL} , 100 100 100 100 100
100 0.010000 2.04688e-09 3.24417e-11 1.99176e-11 2.07933e-09
100 0.012000 2.9671e-09 5.05048e-11 2.93003e-11 3.01761e-09
100 0.014000 3.44892e-09 6.87496e-11 3.82574e-11 3.51767e-09
100 0.016000 3.75292e-09 8.89986e-11 4.64794e-11 3.84192e-09
100 0.018000 4.39414e-09 1.19026e-10 5.72503e-11 4.51316e-09
100 0.020000 4.09788e-09 1.37291e-10 6.29624e-11 4.23517e-09
100 0.022000 4.26296e-09 1.62942e-10 7.20062e-11 4.4259e-09
100 0.024000 6.24454e-09 9.28217e-09 8.27955e-09 1.55267e-08
100 0.026000 7.63197e-09 1.65617e-08 1.53459e-08 2.41936e-08
100 0.028000 3.94384e-08 6.6416e-07 2.80574e-07 7.036e-07
100 0.030000 8.21579e-08 1.4919e-06 7.06415e-07 1.57406e-06
100 0.032000 2.04297e-07 5.50414e-06 1.02055e-06 5.70843e-06
100 0.034000 5.00926e-07 2.01124e-05 3.054e-06 2.06133e-05
100 0.035000 8.52894e-07 3.76116e-05 4.55454e-06 3.84645e-05
100 0.036000 1.50777e-06 7.33013e-05 6.53759e-06 7.48091e-05
100 0.037000 1.61888e-06 7.75338e-05 7.13745e-06 7.91527e-05
100 0.038000 1.87736e-06 7.82256e-05 9.278e-06 8.0103e-05
100 0.039000 2.06793e-06 9.14791e-05 9.97209e-06 9.35469e-05
100 0.040000 2.45285e-06 0.000106077 1.15579e-05 0.00010853
100 0.041000 2.55126e-06 0.000110983 1.01313e-05 0.000113534
100 0.042000 2.66648e-06 0.000112868 9.64861e-06 0.000115534
100 0.043000 2.83958e-06 0.000115253 9.04446e-06 0.000118092
100 0.044000 3.05563e-06 0.000111018 9.59911e-06 0.000114074
100 0.045000 2.78679e-06 9.6205e-05 8.89674e-06 9.89918e-05
100 0.046000 2.58133e-06 8.21139e-05 7.94077e-06 8.46951e-05
100 0.048000 1.93176e-06 6.11845e-05 5.36377e-06 6.31162e-05
100 0.050000 1.62748e-06 5.13376e-05 3.88782e-06 5.29651e-05
100 0.052000 1.46994e-06 4.50181e-05 3.29574e-06 4.6488e-05
100 0.054000 1.35859e-06 4.00258e-05 2.9129e-06 4.13844e-05
100 0.056000 1.22459e-06 3.49253e-05 2.63001e-06 3.61499e-05
100 0.058000 1.1419e-06 3.17694e-05 2.39162e-06 3.29113e-05
100 0.060000 1.02566e-06 2.76729e-05 2.20543e-06 2.86986e-05
100 0.064000 8.24705e-07 2.22281e-05 1.731e-06 2.30528e-05
100 0.070000 6.39556e-07 1.67744e-05 1.12717e-06 1.74139e-05
100 0.080000 3.68438e-07 9.47286e-06 5.17562e-07 9.8413e-06
100 0.090000 2.0153e-07 5.17326e-06 2.18495e-07 5.37479e-06
100 0.100000 1.05206e-07 2.49017e-06 8.59764e-08 2.59537e-06
100 0.110000 6.20265e-08 1.43181e-06 3.38324e-08 1.49383e-06
100 0.120000 3.3286e-08 7.4019e-07 1.17736e-08 7.73476e-07
100 0.130000 1.82127e-08 3.72939e-07 3.66761e-09 3.91152e-07
100 0.140000 9.98837e-09 1.86911e-07 1.28294e-09 1.96899e-07
100 0.150000 6.16695e-09 9.70358e-08 5.02487e-10 1.03203e-07
