L{N=LxL} |h|, SUM[del(m_x)^2] SUM[del(m_y)^2] SUM[del(E)^2] SUM[del(|m|)^2]
L{N=LxL} , 160 160 160 160 160
160 0.010000 2.04794e-09 2.95077e-11 2.14173e-11 2.07745e-09
160 0.012000 2.96857e-09 4.61051e-11 3.15092e-11 3.01467e-09
160 0.014000 3.4287e-09 6.30824e-11 4.09108e-11 3.49178e-09
160 0.016000 3.75525e-09 8.35258e-11 4.99338e-11 3.83878e-09
160 0.018000 4.41582e-09 1.12827e-10 6.16088e-11 4.52864e-09
160 0.020000 4.09059e-09 1.31096e-10 6.73456e-11 4.22168e-09
160 0.022000 4.28229e-09 3.87288e-10 2.77726e-10 4.66958e-09
160 0.024000 4.13834e-09 6.65195e-10 5.31248e-10 4.80354e-09
160 0.026000 6.82398e-09 2.06839e-08 2.20093e-08 2.75079e-08
160 0.028000 8.34355e-09 3.25192e-08 3.28548e-08 4.08628e-08
160 0.030000 2.19605e-08 3.52289e-07 3.02381e-07 3.74251e-07
160 0.032000 6.4121e-08 2.07003e-06 1.04521e-06 2.13415e-06
160 0.034000 3.01298e-07 1.28717e-05 4.24223e-06 1.31731e-05
160 0.035000 3.97684e-07 1.81432e-05 6.75491e-06 1.85409e-05
160 0.036000 5.58719e-07 2.22125e-05 9.52956e-06 2.27712e-05
160 0.037000 6.78781e-07 3.4342e-05 1.07802e-05 3.50207e-05
160 0.038000 7.28967e-07 3.753e-05 1.24217e-05 3.8259e-05
160 0.039000 8.92038e-07 4.05277e-05 1.30974e-05 4.14197e-05
160 0.040000 1.00986e-06 4.41836e-05 1.24777e-05 4.51934e-05
160 0.041000 1.12153e-06 4.8891e-05 1.21066e-05 5.00125e-05
160 0.042000 1.19966e-06 5.00668e-05 1.14696e-05 5.12666e-05
160 0.043000 1.36617e-06 5.20422e-05 1.04514e-05 5.34085e-05
160 0.044000 1.41696e-06 5.10282e-05 9.82767e-06 5.2445e-05
160 0.045000 1.52477e-06 5.20005e-05 9.13082e-06 5.35253e-05
160 0.046000 1.31769e-06 4.35534e-05 7.73028e-06 4.48711e-05
160 0.048000 9.11206e-07 2.95967e-05 5.08715e-06 3.05078e-05
160 0.050000 7.59697e-07 2.4136e-05 3.99319e-06 2.48957e-05
160 0.052000 6.47698e-07 1.95427e-05 3.26172e-06 2.01904e-05
160 0.054000 5.90105e-07 1.74403e-05 2.79848e-06 1.80304e-05
160 0.056000 5.46471e-07 1.48222e-05 2.4362e-06 1.53687e-05
160 0.058000 4.99431e-07 1.34738e-05 2.06003e-06 1.39732e-05
160 0.060000 4.5097e-07 1.17287e-05 1.71832e-06 1.21797e-05
160 0.064000 3.4942e-07 9.13817e-06 1.19834e-06 9.4876e-06
160 0.070000 2.39836e-07 6.34921e-06 7.13686e-07 6.58905e-06
160 0.080000 1.42057e-07 3.54854e-06 2.98034e-07 3.69059e-06
160 0.090000 8.0532e-08 1.94007e-06 1.10286e-07 2.0206e-06
160 0.100000 4.549e-08 1.03864e-06 4.13809e-08 1.08413e-06
160 0.110000 2.59469e-08 5.64466e-07 1.39557e-08 5.90413e-07
160 0.120000 1.44946e-08 2.97544e-07 4.96045e-09 3.12039e-07
160 0.130000 8.6063e-09 1.5217e-07 1.70034e-09 1.60777e-07
160 0.140000 5.59856e-09 7.96438e-08 5.81728e-10 8.52424e-08
160 0.150000 3.92952e-09 4.00667e-08 2.20323e-10 4.39962e-08
