L{N=LxL} |h|, SUM[del(m_x)^2] SUM[del(m_y)^2] SUM[del(E)^2] SUM[del(|m|)^2]
L{N=LxL} , 64 64 64 64 64
64 0.010000 2.06605e-09 4.44834e-11 2.03242e-11 2.11054e-09
64 0.012000 2.99532e-09 6.84828e-11 2.99103e-11 3.0638e-09
64 0.014000 3.43584e-09 8.85569e-11 3.88451e-11 3.5244e-09
64 0.016000 3.76919e-09 1.1271e-10 4.73098e-11 3.8819e-09
64 0.018000 4.34118e-09 1.45757e-10 5.79768e-11 4.48693e-09
64 0.020000 4.10631e-09 1.64815e-10 6.42648e-11 4.27113e-09
64 0.022000 4.22558e-09 1.9232e-10 7.32446e-11 4.4179e-09
64 0.024000 1.47578e-08 4.26363e-08 3.47609e-08 5.73941e-08
64 0.026000 1.99106e-08 1.36307e-07 8.57324e-08 1.56217e-07
64 0.028000 3.49209e-08 2.57792e-07 1.69658e-07 2.92713e-07
64 0.030000 1.12023e-07 5.30759e-07 3.66004e-07 6.42782e-07
64 0.032000 5.44219e-07 1.53889e-05 1.117e-06 1.59332e-05
64 0.034000 1.25142e-06 3.68482e-05 2.60747e-06 3.80996e-05
64 0.035000 1.33417e-06 3.57155e-05 3.32682e-06 3.70497e-05
64 0.036000 1.71791e-06 4.97194e-05 4.09023e-06 5.14374e-05
64 0.037000 2.15447e-06 5.84855e-05 5.0647e-06 6.064e-05
64 0.038000 2.49554e-06 7.10374e-05 5.17578e-06 7.3533e-05
64 0.039000 2.88084e-06 8.06134e-05 5.74141e-06 8.34941e-05
64 0.040000 3.45994e-06 9.24455e-05 6.28936e-06 9.59054e-05
64 0.041000 3.85265e-06 0.000103431 7.15475e-06 0.000107283
64 0.042000 3.96182e-06 0.000106645 7.23003e-06 0.000110607
64 0.043000 4.27911e-06 0.00011045 7.10797e-06 0.00011473
64 0.044000 4.34455e-06 0.000111964 6.66179e-06 0.000116308
64 0.045000 4.16232e-06 0.000106248 6.16752e-06 0.000110411
64 0.046000 3.94219e-06 9.90358e-05 5.61493e-06 0.000102978
64 0.048000 3.52501e-06 8.66905e-05 3.89097e-06 9.02155e-05
64 0.050000 3.15941e-06 7.6366e-05 3.14772e-06 7.95253e-05
64 0.052000 2.93455e-06 6.71579e-05 2.67147e-06 7.00925e-05
64 0.054000 2.69901e-06 6.16837e-05 2.25063e-06 6.43827e-05
64 0.056000 2.53332e-06 5.61944e-05 1.99949e-06 5.87277e-05
64 0.058000 2.34315e-06 5.16341e-05 1.75469e-06 5.39772e-05
64 0.060000 2.2044e-06 4.67278e-05 1.75006e-06 4.89322e-05
64 0.064000 1.89255e-06 4.02917e-05 1.41622e-06 4.21843e-05
64 0.070000 1.42995e-06 2.97511e-05 1.07793e-06 3.1181e-05
64 0.080000 8.89008e-07 1.90481e-05 5.44009e-07 1.99371e-05
64 0.090000 5.08463e-07 1.11569e-05 2.5541e-07 1.16653e-05
64 0.100000 2.63775e-07 6.27096e-06 1.20741e-07 6.53474e-06
64 0.110000 1.43692e-07 3.39247e-06 5.28484e-08 3.53616e-06
64 0.120000 7.51258e-08 1.83426e-06 1.99365e-08 1.90938e-06
64 0.130000 3.9246e-08 9.69203e-07 7.02163e-09 1.00845e-06
64 0.140000 1.96961e-08 4.74048e-07 2.41317e-09 4.93744e-07
64 0.150000 1.08671e-08 2.29092e-07 9.94144e-10 2.39959e-07
