2.000000 0.227774 0.225217 -0.000306 -0.71269
1.990000 0.231601 0.229159 -0.001248 -0.719033
1.980000 0.233832 0.231278 -0.000773 -0.724383
1.970000 0.23768 0.235142 -0.002068 -0.730683
1.960000 0.240589 0.238118 -0.001154 -0.735774
1.950000 0.243159 0.240733 0.000215 -0.740621
1.940000 0.245403 0.242901 -6.5e-05 -0.74501
1.930000 0.247312 0.244936 -0.000158 -0.749308
1.920000 0.25166 0.249286 -0.001002 -0.756441
1.910000 0.254999 0.252626 -0.000426 -0.762882
1.900000 0.258296 0.255889 -0.002573 -0.768886
1.890000 0.261471 0.259163 -0.001896 -0.774955
1.880000 0.265659 0.263218 -0.001419 -0.781474
1.870000 0.268445 0.266176 0.001144 -0.786495
1.860000 0.271315 0.269056 -0.000431 -0.792466
1.850000 0.274625 0.27232 -0.000869 -0.798392
1.840000 0.279775 0.277573 -0.001465 -0.806292
1.830000 0.282731 0.280503 -0.002416 -0.812348
1.820000 0.286721 0.284524 -0.001977 -0.819801
1.810000 0.292742 0.290495 -0.001066 -0.827611
1.800000 0.295503 0.29334 -2.1e-05 -0.833087
1.790000 0.298531 0.296419 -7.4e-05 -0.839398
1.780000 0.302456 0.30031 6e-05 -0.846093
1.770000 0.307016 0.304892 -0.002271 -0.854052
1.760000 0.311076 0.308988 -0.001159 -0.861664
1.750000 0.315201 0.313044 -0.003175 -0.869197
1.740000 0.319788 0.317657 -0.002732 -0.876931
1.730000 0.325455 0.323346 -0.000998 -0.885369
1.720000 0.328427 0.326409 0.000267 -0.89081
1.710000 0.332879 0.330905 -0.000195 -0.898684
1.700000 0.337774 0.335747 -0.000932 -0.906994
1.690000 0.343516 0.341513 -0.00132 -0.915749
1.680000 0.348248 0.346248 -0.003088 -0.924998
1.670000 0.352706 0.350774 -0.002155 -0.933372
1.660000 0.359005 0.357028 -0.001323 -0.942997
1.650000 0.36401 0.362176 0.000856 -0.950681
1.640000 0.368542 0.366607 0.001392 -0.958293
1.630000 0.373713 0.371819 0.000488 -0.967087
1.620000 0.379612 0.377692 -0.001558 -0.976713
1.610000 0.384519 0.382654 -0.001909 -0.986092
1.600000 0.390449 0.388446 -0.003842 -0.99645
1.590000 0.396235 0.394368 -0.002958 -1.00573
1.580000 0.402686 0.400837 -0.00083 -1.01563
1.570000 0.407472 0.405668 0.000743 -1.02418
1.560000 0.411799 0.410066 -0.000166 -1.03211
1.550000 0.418641 0.416797 0.000727 -1.04277
1.540000 0.424907 0.423056 -0.001209 -1.05333
1.530000 0.430705 0.428814 -0.002757 -1.06395
1.520000 0.436821 0.435008 -0.003572 -1.07479
1.510000 0.444415 0.442713 -0.000927 -1.08596
1.500000 0.449575 0.44792 0.002677 -1.0948
1.490000 0.455388 0.453689 0.001076 -1.10509
1.480000 0.461063 0.459243 0.000552 -1.11505
1.470000 0.46931 0.467509 -0.000687 -1.12743
1.460000 0.474104 0.472346 -0.000314 -1.13799
1.450000 0.480824 0.479105 -0.004323 -1.14943
1.440000 0.487597 0.485926 -0.003723 -1.16091
1.430000 0.493143 0.491548 -0.001227 -1.17059
1.420000 0.500702 0.499053 -0.001216 -1.18221
1.410000 0.506049 0.504374 0.001503 -1.19173
1.400000 0.513372 0.511767 -0.001409 -1.20446
1.390000 0.519713 0.518026 -0.000835 -1.21662
1.380000 0.526403 0.524624 -0.005851 -1.22818
1.370000 0.531597 0.529834 -0.003868 -1.2385
1.360000 0.539024 0.537357 -0.001888 -1.25067
1.350000 0.546403 0.544879 0.00176 -1.26187
1.340000 0.552034 0.550513 -0.001832 -1.27253
1.330000 0.557869 0.556349 -0.001472 -1.28358
1.320000 0.566325 0.564738 -0.000201 -1.29735
1.310000 0.571271 0.569607 -0.002839 -1.30839
1.300000 0.577402 0.575852 -0.002508 -1.31986
1.290000 0.584791 0.58322 -0.002867 -1.33242
1.280000 0.590829 0.589364 -0.000827 -1.34306
1.270000 0.597497 0.596125 -0.001983 -1.35426
1.260000 0.602983 0.601449 -7.5e-05 -1.3643
1.250000 0.608957 0.607414 -0.004168 -1.3765
1.240000 0.614595 0.613058 0.000588 -1.38733
1.230000 0.620977 0.619433 -0.003505 -1.39976
1.220000 0.62548 0.623868 -0.004087 -1.40951
1.210000 0.632253 0.630846 -0.003983 -1.42147
1.200000 0.638044 0.6367 0.000879 -1.43182
1.190000 0.643828 0.642397 -0.001288 -1.44252
1.180000 0.649492 0.648112 0.000191 -1.45373
1.170000 0.654736 0.653367 0.003175 -1.46449
1.160000 0.660032 0.658528 -0.002112 -1.47609
1.150000 0.664993 0.663486 -0.001549 -1.48609
1.140000 0.670872 0.669421 -0.003773 -1.49726
1.130000 0.675877 0.674625 -0.001626 -1.50755
1.120000 0.681936 0.680678 -0.000873 -1.51779
1.110000 0.685999 0.684591 0.002646 -1.52657
1.100000 0.690646 0.689134 -0.002872 -1.53731
1.090000 0.695978 0.694751 -0.000234 -1.54801
1.080000 0.700653 0.69923 -0.004402 -1.55799
1.070000 0.704447 0.703055 -0.005513 -1.56727
1.060000 0.710001 0.708666 -0.003422 -1.5777
1.050000 0.71513 0.713942 0.003558 -1.58713
1.040000 0.718778 0.717426 -9.9e-05 -1.59571
1.030000 0.723329 0.722056 0.001694 -1.60517
1.020000 0.727157 0.725933 0.001937 -1.61457
1.010000 0.731578 0.73027 -0.004801 -1.62476
1.000000 0.734845 0.73349 -0.004608 -1.63213
0.990000 0.739401 0.738239 -0.003499 -1.64178
0.980000 0.744061 0.742837 0.000299 -1.65074
0.970000 0.748362 0.747148 0.001325 -1.65971
